x0j,y0j,Gamma_j
0.4415111108,0.3213938048,-0.0469577566
0.4209098322,0.3444576318,-0.0354496722
0.3989221445,0.3662037666,-0.0357112160
0.3756321597,0.3865490215,-0.0374138037
0.3511289714,0.4054155674,-0.0394202405
0.3255063145,0.4227312321,-0.0414279639
0.2988622062,0.4384297760,-0.0433234049
0.2712985711,0.4524511458,-0.0450541537
0.2429208515,0.4647417038,-0.0465921967
0.2138376038,0.4752544338,-0.0479208176
0.1841600833,0.4839491202,-0.0490292239
0.1540018189,0.4907925022,-0.0499101121
0.1234781783,0.4957584011,-0.0505584797
0.0927059269,0.4988278203,-0.0509710123
0.0618027813,0.4999890180,-0.0511457517
0.0308869586,0.4992375521,-0.0510819102
0.0000767247,0.4965762973,-0.0507797615
-0.0305100586,0.4920154340,-0.0502405730
-0.0607563844,0.4855724093,-0.0494665619
-0.0905465480,0.4772718706,-0.0484608624
-0.1197665897,0.4671455707,-0.0472274995
-0.1483047310,0.4552322469,-0.0457713651
-0.1760518016,0.4415774726,-0.0440981942
-0.2029016577,0.4262334829,-0.0422145401
-0.2287515874,0.4092589749,-0.0401277480
-0.2535027043,0.3907188831,-0.0378459262
-0.2770603250,0.3706841308,-0.0353779151
-0.2993343319,0.3492313594,-0.0327332538
-0.3202395180,0.3264426344,-0.0299221433
-0.3396959122,0.3024051321,-0.0269554086
-0.3576290857,0.2772108059,-0.0238444571
-0.3739704370,0.2509560343,-0.0206012357
-0.3886574535,0.2237412528,-0.0172381850
-0.4016339514,0.1956705689,-0.0137681921
-0.4128502903,0.1668513647,-0.0102045414
-0.4222635629,0.1373938854,-0.0065608635
-0.4298377598,0.1074108180,-0.0028510834
-0.4355439065,0.0770168600,0.0009106338
-0.4393601746,0.0463282809,0.0047099370
-0.4412719654,0.0154624771,0.0085323449
-0.4412719654,-0.0154624771,0.0123633018
-0.4393601746,-0.0463282809,0.0161882348
-0.4355439065,-0.0770168600,0.0199926106
-0.4298377598,-0.1074108180,0.0237619924
-0.4222635629,-0.1373938854,0.0274820975
-0.4128502903,-0.1668513647,0.0311388535
-0.4016339514,-0.1956705689,0.0347184553
-0.3886574535,-0.2237412528,0.0382074213
-0.3739704370,-0.2509560343,0.0415926481
-0.3576290857,-0.2772108059,0.0448614664
-0.3396959122,-0.3024051321,0.0480016942
-0.3202395180,-0.3264426344,0.0510016912
-0.2993343319,-0.3492313594,0.0538504112
-0.2770603250,-0.3706841308,0.0565374551
-0.2535027043,-0.3907188831,0.0590531240
-0.2287515874,-0.4092589749,0.0613884718
-0.2029016577,-0.4262334829,0.0635353604
-0.1760518016,-0.4415774726,0.0654865160
-0.1483047310,-0.4552322469,0.0672355906
-0.1197665897,-0.4671455707,0.0687772283
-0.0905465480,-0.4772718706,0.0701071417
-0.0607563844,-0.4855724093,0.0712222018
-0.0305100586,-0.4920154340,0.0721205487
0.0000767247,-0.4965762973,0.0728017332
0.0308869586,-0.4992375521,0.0732669040
0.0618027813,-0.4999890180,0.0735190645
0.0927059269,-0.4988278203,0.0735634383
0.1234781783,-0.4957584011,0.0734080022
0.1540018189,-0.4907925022,0.0730642930
0.1841600833,-0.4839491202,0.0725486683
0.2138376038,-0.4752544338,0.0718843531
0.2429208515,-0.4647417038,0.0711049082
0.2712985711,-0.4524511458,0.0702604181
0.2988622062,-0.4384297760,0.0694292499
0.3255063145,-0.4227312321,0.0687422554
0.3511289714,-0.4054155674,0.0684381054
0.3756321597,-0.3865490215,0.0690096514
0.3989221445,-0.3662037666,0.0716855680
0.4209098322,-0.3444576318,0.0807412808
0.4415111108,-0.3213938048,0.1320127002
